University,Player,Team,Position
Florida State,Jalen Ramsey,Miami Dolphins,Cornerback
Florida State,Jammie Robinson,Arizona Cardinals,Safety
Florida State,Josh Sweat,Philadelphia Eagles,Linebacker
Florida State,Jared Verse,Los Angeles Rams,Linebacker
Florida State,DeMarcus Walker,Chicago Bears,Defensive End
Florida State,Johnny Wilson,Philadelphia Eagles,Wide Receiver
Florida State,Jameis Winston,Cleveland Browns,Quarterback
Fordham,Nick Zakelj,San Francisco 49ers,Offensive Tackle
Fort Hays State,Nathan Shepherd,New Orleans Saints,Defensive Tackle
Fort Valley State,Emanuel Wilson,Green Bay Packers,Running Back
Fresno State,Davante Adams,New York Jets,Wide Receiver
Fresno State,Levelle Bailey,Denver Broncos,Linebacker
Fresno State,DaRon Bland,Dallas Cowboys,Cornerback
Fresno State,Derek Carr,New Orleans Saints,Quarterback
Fresno State,Jake Haener,New Orleans Saints,Quarterback
Fresno State,Jordan Mims,New Orleans Saints,Running Back
Fresno State,Arron Mosby,Green Bay Packers,Defensive End
Fresno State,Nikko Remigio,Kansas City Chiefs,Wide Receiver
Fresno State,Ronnie Rivers,Los Angeles Rams,Running Back
Fresno State,Mykal Walker,Washington Commanders,Linebacker
Friends University,Jeremiah Pharms Jr.,New England Patriots,Defensive Tackle
Furman,Ryan Miller,Tampa Bay Buccaneers,Wide Receiver
Georgia,Robert Beal Jr.,San Francisco 49ers,Defensive End
Georgia,Stetson Bennett,Los Angeles Rams,Quarterback
Georgia,Brock Bowers,Las Vegas Raiders,Tight End
Georgia,Javon Bullard,Green Bay Packers,Safety
Georgia,Tyson Campbell,Jacksonville Jaguars,Cornerback
Georgia,Lorenzo Carter,Atlanta Falcons,Linebacker
Georgia,Jalen Carter,Philadelphia Eagles,Defensive Tackle
Georgia,Ben Cleveland,Baltimore Ravens,Guard
Georgia,Chris Conley,San Francisco 49ers,Wide Receiver
Georgia,James Cook,Buffalo Bills,Running Back
Georgia,Jordan Davis,null Unknown,Unknown
Georgia,Jordan Davis,Philadelphia Eagles,Defensive Tackle
Georgia,Nakobe Dean,Philadelphia Eagles,Linebacker
Georgia,John FitzPatrick,Green Bay Packers,Tight End
Georgia,Leonard Floyd,San Francisco 49ers,Defensive End
Georgia,Malik Herring,Kansas City Chiefs,Defensive End
Georgia,John Jenkins,Las Vegas Raiders,Defensive Tackle
Georgia,Broderick Jones,Pittsburgh Steelers,Offensive Tackle
Georgia,Kamari Lassiter,Houston Texans,Cornerback
Georgia,Warren McClendon Jr.,Los Angeles Rams,Offensive Tackle
Georgia,Ladd McConkey,Los Angeles Chargers,Wide Receiver
