RK,NAME,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
356,Kenny McIntosh SEA,15,3,3,22,7.3,0,15,0,1.5,0,0,17,1
356,Luke Musgrave GB,4,5,7,22,4.4,0,6,0,5.5,0,0,15,1
356,Jamari Thrash CLE,7,3,5,22,7.3,0,11,0,3.1,0,0,14,2
356,Shane Zylstra DET,10,1,1,22,22.0,0,22,1,2.2,0,0,13,1
362,James Proche II CLE,7,3,3,21,7.0,0,14,0,3.0,0,0,4,1
362,Devontez Walker BAL,7,1,1,21,21.0,1,21,1,3.0,0,0,0,1
364,C.J. Ham MIN,15,3,4,20,6.7,0,9,0,1.3,1,1,17,0
364,Deven Thompkins CAR,7,4,4,20,5.0,0,12,0,2.9,0,0,28,2
366,Zay Jones ARI,9,3,5,19,6.3,0,13,0,2.1,0,0,14,2
366,Jeff Wilson Jr. MIA,7,3,3,19,6.3,0,7,0,2.7,0,0,19,0
368,Kristian Wilkerson LV,3,2,3,18,9.0,1,9,0,6.0,0,0,11,2
368,Marcus Jones NE,14,1,1,18,18.0,0,18,0,1.3,0,0,25,1
368,Deuce Vaughn DAL,6,3,5,18,6.0,0,8,0,3.0,0,0,13,0
371,Mason Kinsey TEN,4,2,2,17,8.5,0,11,0,4.3,0,0,0,1
371,Chris Blair ATL,2,1,1,17,17.0,0,17,0,8.5,0,0,0,1
373,Tanner Conner MIA,8,3,4,16,5.3,0,11,0,2.0,0,0,5,1
373,Quintin Morris BUF,14,2,3,16,8.0,1,14,0,1.1,0,0,8,2
373,Malachi Corley NYJ,8,3,6,16,5.3,0,10,0,2.0,0,0,5,1
376,Trenton Irwin CIN,7,3,10,15,5.0,0,6,0,2.1,0,0,4,1
377,Josiah Deguara JAX,13,3,3,14,4.7,0,8,0,1.1,0,0,7,0
377,Casey Washington ATL,8,1,2,14,14.0,0,14,0,1.8,0,0,11,1
377,Audric Estime DEN,11,4,4,14,3.5,0,11,0,1.3,0,0,23,1
377,Johnny Wilson PHI,14,2,10,14,7.0,1,9,0,1.0,0,0,6,2
381,Patrick Taylor Jr. SF,11,2,7,13,6.5,0,12,0,1.2,0,0,12,1
381,Blake Watson DEN,2,1,2,13,13.0,0,13,0,6.5,0,0,18,0
381,Terrace Marshall Jr. LV,5,2,4,13,6.5,0,7,0,2.6,0,0,1,0
384,River Cracraft MIA,6,2,4,12,6.0,0,6,0,2.0,0,0,4,0
384,Isaiah Hodgins NYG,3,2,2,12,6.0,0,7,0,4.0,0,0,1,0
384,Cam Grandy CIN,6,3,3,12,4.0,0,9,0,2.0,0,0,4,1
387,Tyler Higbee LAR,1,1,2,11,11.0,1,11,0,11.0,0,0,11,1
387,Myles Gaskin MIN,5,1,1,11,11.0,0,11,0,2.2,0,0,13,0
387,Khalil Herbert CHI/CIN,12,3,3,11,3.7,0,7,0,0.9,0,0,15,0
387,Travis Homer CHI,10,3,3,11,3.7,0,6,0,1.1,0,0,10,0
387,Julius Chestnut TEN,15,2,2,11,5.5,0,9,0,0.7,0,0,14,0
387,Grant DuBose MIA,3,2,4,11,5.5,0,13,0,3.7,0,0,3,1
393,Dalvin Cook DAL,2,1,1,10,10.0,0,10,0,5.0,0,0,7,1
393,Jack Stoll MIA/PHI,9,2,3,10,5.0,0,6,0,1.1,0,0,2,0
393,Dallin Holker NO,9,1,1,10,10.0,0,10,0,1.1,0,0,11,1
393,Jermar Jefferson DET,1,1,1,10,10.0,0,10,0,10.0,0,0,10,1
397,Allen Robinson DET,11,2,6,9,4.5,0,7,0,0.8,0,0,2,2
397,Eric Tomlinson LAC,9,2,4,9,4.5,0,7,0,1.0,0,0,12,0
397,Dan Skipper DET,15,1,1,9,9.0,1,9,0,0.6,0,0,8,1
397,Brandon Johnson PIT,3,1,1,9,9.0,0,9,0,3.0,0,0,4,0
397,Kendric Pryor CIN,1,1,1,9,9.0,0,9,0,9.0,0,0,0,0
397,Tristan Wirfs TB,14,0,0,9,0.0,0,9,0,0.6,1,0,9,0
403,Patrick Ricard BAL,15,2,4,8,4.0,1,5,0,0.5,0,0,5,1
403,Velus Jones Jr. CHI/CAR,2,1,1,8,8.0,0,8,0,4.0,0,0,13,0
403,Jha'Quan Jackson TEN,12,1,3,8,8.0,0,8,0,0.7,0,0,2,1
403,Jaylen Wright MIA,13,3,6,8,2.7,0,6,0,0.6,0,0,8,1
407,Geoff Swaim CLE,8,1,1,7,7.0,0,7,0,0.9,0,0,5,0
407,Jared Goff DET,15,1,1,7,7.0,1,7,0,0.5,0,0,2,1
407,Josh Allen BUF,15,0,0,7,0.0,1,7,0,0.5,0,0,7,1
407,Ian Thomas CAR,5,3,6,7,2.3,0,3,0,1.4,0,0,6,1
407,John Samuel Shenker LV,6,1,1,7,7.0,0,7,0,1.2,0,0,3,0
407,Brevin Jordan HOU,2,2,3,7,3.5,0,4,0,3.5,0,0,3,1
