RK,NAME,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS,LNG,TD,FF,FR,FTD
231,Darius Slay Jr. PHI,13,37,9,46,0.0,0,3,13,0,0,0,0,1,1,0
231,Rakeem Nunez-Roches NYG,13,11,35,46,1.0,1,1,2,0,0,0,0,0,0,0
231,Grady Jarrett ATL,15,25,21,46,2.5,23,9,0,0,0,0,0,0,0,0
231,Ronald Darby JAX,13,36,10,46,0.0,0,3,9,0,0,0,0,0,0,0
231,Troy Reeder LAR,6,26,20,46,0.0,0,1,1,0,0,0,0,0,0,0
231,Michael Hoecht LAR,15,20,26,46,3.0,14,4,2,0,0,0,0,0,0,0
231,Jordan Fuller CAR,8,27,19,46,0.0,0,0,1,0,0,0,0,1,0,0
231,Sauce Gardner NYJ,14,33,13,46,1.0,4,1,8,1,0,0,0,0,0,0
231,Yaya Diaby TB,15,33,13,46,2.5,20,8,0,0,0,0,0,1,1,0
231,Max Melton ARI,15,34,12,46,0.0,0,2,4,0,0,0,0,1,0,0
242,Zach Sieler MIA,13,24,21,45,8.5,75,12,2,1,0,0,0,1,1,0
242,Raekwon McMillan NE,9,25,20,45,0.0,0,1,1,0,0,0,0,0,0,0
242,David Long Jr. MIA/DET,13,29,16,45,0.0,0,3,0,0,0,0,0,0,1,0
242,Maxx Crosby LV,12,28,17,45,7.5,64,17,5,0,0,0,0,0,0,0
242,Juan Thornhill CLE,9,28,17,45,0.0,0,1,2,0,0,0,0,0,0,0
242,Nate Hobbs LV,10,30,15,45,0.0,0,2,5,1,35,35,0,0,0,0
242,Jordan Howden NO,14,22,23,45,0.0,0,1,1,1,-5,-5,0,0,0,0
242,Beanie Bishop Jr. PIT,15,30,15,45,0.5,3,2,6,3,46,41,0,0,1,0
242,Deonte Banks NYG,12,34,11,45,0.0,0,1,9,0,0,0,0,1,0,0
242,Kamren Kinchens LAR,15,27,18,45,0.0,0,1,5,3,112,103,1,1,0,0
242,Cooper DeJean PHI,15,34,11,45,0.5,8,3,6,0,0,0,0,1,2,0
253,Jalen Mills NYJ,9,17,27,44,0.0,0,1,6,1,0,0,0,1,0,0
253,Danielle Hunter HOU,15,30,14,44,12.0,94,17,3,0,0,0,0,1,0,0
253,Daniel Ekuale NE,14,22,22,44,1.0,6,2,0,0,0,0,0,0,0,0
253,Harrison Phillips MIN,15,14,30,44,2.0,14,2,4,0,0,0,0,1,1,0
253,Denzel Ward CLE,15,37,7,44,0.0,0,1,19,2,0,0,0,1,1,0
253,Kristian Fulton LAC,13,32,12,44,0.0,0,2,7,1,29,29,0,0,0,0
253,Dexter Lawrence II NYG,12,23,21,44,9.0,65,8,1,0,0,0,0,1,0,0
253,Nick Bosa SF,12,28,16,44,7.0,40,11,1,1,30,30,0,1,1,0
253,Nazeeh Johnson KC,14,24,20,44,1.0,17,3,3,0,0,0,0,0,0,0
253,Jack Gibbens TEN,10,22,22,44,0.5,3,2,0,0,0,0,0,0,0,0
253,Dane Belton NYG,15,19,25,44,1.0,5,1,4,0,0,0,0,1,0,0
253,Gervon Dexter Sr. CHI,13,23,21,44,5.0,37,4,1,0,0,0,0,0,2,0
265,DeMarcus Walker CHI,15,23,20,43,3.5,20,5,0,0,0,0,0,0,0,0
265,Jarran Reed SEA,15,20,23,43,3.5,36,4,2,0,0,0,0,1,0,0
265,Jaylinn Hawkins NE,15,26,17,43,0.0,0,3,1,0,0,0,0,0,1,0
265,Amik Robertson DET,15,34,9,43,0.0,0,4,6,0,0,0,0,2,0,0
265,Malcolm Rodriguez DET,10,27,16,43,2.0,7,2,1,0,0,0,0,0,1,0
265,Jaylon Johnson CHI,15,34,9,43,0.0,0,7,7,2,11,9,0,0,0,0
265,Riq Woolen SEA,13,29,14,43,0.0,0,0,13,2,4,4,0,1,0,0
265,Nik Bonitto DEN,15,29,14,43,11.5,80,14,3,1,71,71,1,2,1,1
265,Roger McCreary TEN,13,36,7,43,1.0,13,11,1,0,0,0,0,0,0,0
265,T'Vondre Sweat TEN,15,19,24,43,1.0,9,4,1,0,0,0,0,1,1,0
275,Quandre Diggs TEN,8,35,7,42,0.0,0,0,0,0,0,0,0,0,0,0
275,Emmanuel Ogbah MIA,14,22,20,42,3.5,11,7,2,1,0,0,0,0,0,0
275,Marcus Maye LAC/MIA,15,19,23,42,0.0,0,1,3,1,0,0,0,0,0,0
275,Sebastian Joseph-Day TEN,15,18,24,42,2.5,32,3,1,0,0,0,0,0,0,0
275,Darnell Savage JAX,12,33,9,42,0.0,0,2,6,1,16,16,0,0,0,0
275,Osa Odighizuwa DAL,15,23,19,42,4.0,22,5,1,0,0,0,0,1,0,0
275,Trevon Diggs DAL,11,35,7,42,0.0,0,0,11,2,1,1,0,0,0,0
275,Starling Thomas V ARI,15,30,12,42,0.0,0,1,6,0,0,0,0,1,0,0
275,Jalen Carter PHI,15,25,17,42,4.5,31,12,5,0,0,0,0,2,0,0
284,John Jenkins LV,15,12,29,41,1.0,11,3,2,0,0,0,0,0,0,0
284,Elandon Roberts PIT,15,21,20,41,1.0,9,5,0,0,0,0,0,1,0,0
284,Sam Hubbard CIN,14,25,16,41,2.0,6,3,2,1,0,0,0,1,0,0
284,Myles Garrett CLE,15,34,7,41,12.0,85,18,1,0,0,0,0,3,1,0
284,David Onyemata ATL,15,21,20,41,2.0,8,7,1,0,0,0,0,0,0,0
284,Darious Williams LAR,11,29,12,41,0.0,0,1,6,1,0,0,0,0,0,0
284,DJ Johnson CAR,13,17,24,41,0.5,0,2,1,0,0,0,0,0,1,0
284,Braden Fiske LAR,15,18,23,41,6.0,62,8,0,0,0,0,0,2,2,0
284,Quinyon Mitchell PHI,15,32,9,41,0.0,0,0,10,0,0,0,0,0,0,0
293,Jadeveon Clowney CAR,12,22,18,40,3.5,39,7,3,0,0,0,0,0,0,0
293,Jabrill Peppers NE,6,20,20,40,0.0,0,2,2,1,0,0,0,1,0,0
293,Shy Tuttle CAR,13,20,20,40,0.0,0,0,3,0,0,0,0,1,2,0
293,Malcolm Roach DEN,15,17,23,40,2.5,14,4,2,0,0,0,0,1,1,0
293,Baylon Spector BUF,11,22,18,40,1.5,1,2,0,0,0,0,0,0,1,0
293,Grant Stuard IND,15,25,15,40,0.0,0,2,0,0,0,0,0,0,0,0
293,LaBryan Ray CAR,14,15,25,40,1.0,5,2,0,0,0,0,0,0,0,0
