PLR_NAME,Player,Team ABR,Team,RK,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD,Position,College,School,Conference
Ja'Marr Chase,Ja'Marr Chase,CIN,Cincinnati,169,15,3,32,10.7,14,0,0,2.1,0,0,2,WR,Louisiana State,Louisiana,Sun Belt
Jase McClellan,Jase McClellan,ATL,Atlanta,169,2,13,32,2.5,8,0,0,16.0,0,0,2,RB,Alabama,Alabama,SEC
Xavier Smith,Xavier Smith,LAR,LA Rams,172,13,2,30,15.0,24,1,0,2.3,0,0,1,WR,Florida A&M,Florida,SEC
Brian Thomas Jr.,Brian Thomas,JAX,Jacksonville,172,15,5,30,6.0,13,0,0,2.0,0,0,2,WR,Louisiana State,Louisiana,Sun Belt
Rashid Shaheed,Rashid Shaheed,NO,New Orleans,174,6,6,29,4.8,13,0,0,4.8,0,0,2,WR,Weber State,,
Jalen McMillan,Jalen McMillan,TB,Tampa Bay,175,11,2,28,14.0,17,0,0,2.5,0,0,2,WR,Washington,Washington,Big Ten
DeeJay Dallas,DeeJay Dallas,ARI,Arizona,176,15,8,27,3.4,7,0,0,1.8,0,0,3,RB,Miami,Miami (FL),ACC
Kyle Juszczyk,Kyle Juszczyk,SF,San Francisco,177,15,5,26,5.2,14,0,1,1.7,1,1,1,RB,Harvard,,
Hassan Haskins,Hassan Haskins,LAC,LA Chargers,177,15,14,26,1.9,5,0,1,1.7,1,1,6,RB,Michigan,Michigan,Big Ten
Malachi Corley,Malachi Corley,NYJ,NY Jets,177,8,2,26,13.0,18,0,0,3.3,1,1,1,WR,Western Kentucky,Kentucky,SEC
Joe Flacco,Joe Flacco,IND,Indianapolis,180,6,8,25,3.1,21,1,0,4.2,1,1,2,QB,Delaware,,
Matthew Stafford,Matthew Stafford,LAR,LA Rams,180,15,24,25,1.0,15,0,0,1.7,2,0,7,QB,Georgia,Georgia,SEC
Eric Gray,Eric Gray,NYG,NY Giants,180,15,13,25,1.9,6,0,0,1.7,1,1,1,RB,Oklahoma,Oklahoma,SEC
Greg Dortch,Greg Dortch,ARI,Arizona,183,15,4,24,6.0,8,0,0,1.6,1,0,1,WR,Wake Forest,Wake Forest,ACC
Xavier Legette,Xavier Legette,CAR,Carolina,183,14,6,24,4.0,8,0,0,1.7,0,0,2,WR,South Carolina,South Carolina,SEC
