PLR_NAME,Player,Team ABR,Team,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD,Position,College
Davon Godchaux,Davon Godchaux,NE,New England,174,15,19,36,55,0.0,0,1,1,0,0,0,0,0,0,0,DT,Louisiana State
Rasul Douglas,Rasul Douglas,BUF,Buffalo,174,13,40,15,55,0.0,0,5,5,0,0,0,0,1,0,0,DB,West Virginia
Trent McDuffie,Trent McDuffie,KC,Kansas City,174,15,41,14,55,0.5,0,6,12,2,0,0,0,0,0,0,DB,Washington
Leonard Williams,Leonard Williams,SEA,Seattle,178,14,28,26,54,7.0,52,12,3,1,92,92,1,0,0,0,DE,Southern California
D.J. Reed,D.J. Reed,NYJ,NY Jets,178,12,43,11,54,1.0,8,3,10,0,0,0,0,0,0,0,DB,Kansas State
Jerome Baker,Jerome Baker,SEA/TEN,Tennessee,178,8,30,24,54,1.0,0,2,2,0,0,0,0,1,1,0,LB,Ohio State
Travon Walker,Travon Walker,JAX,Jacksonville,178,15,28,26,54,8.5,80,11,1,0,0,0,0,1,1,1,DE,Georgia
Leo Chenal,Leo Chenal,KC,Kansas City,178,15,38,16,54,1.0,0,4,3,0,0,0,0,3,0,0,LB,Wisconsin
Renardo Green,Renardo Green,SF,San Francisco,178,15,37,17,54,0.0,0,0,9,1,20,20,0,1,0,0,DB,Florida State
Omar Speights,Omar Speights,LAR,LA Rams,178,15,31,23,54,0.0,0,2,2,0,0,0,0,0,0,0,LB,Louisiana State
Zach Allen,Zach Allen,DEN,Denver,185,14,30,23,53,5.0,22,13,1,0,0,0,0,0,0,0,DE,Boston College
DaVon Hamilton,Davon Hamilton,JAX,Jacksonville,185,15,29,24,53,0.0,0,5,0,0,0,0,0,0,0,0,DT,Ohio State
Jevon Holland,Jevon Holland,MIA,Miami,185,13,37,16,53,1.0,12,2,3,0,0,0,0,1,0,0,DB,Oregon
Tyrann Mathieu,Tyrann Mathieu,NO,New Orleans,188,14,38,14,52,0.0,0,1,6,3,29,23,0,2,1,0,DB,Louisiana State
Jonathan Jones,Jonathan Jones,NE,New England,188,15,37,15,52,0.0,0,0,6,0,0,0,0,2,0,0,DB,Auburn
DeForest Buckner,DeForest Buckner,IND,Indianapolis,188,10,24,28,52,6.5,62,8,1,0,0,0,0,0,0,0,DT,Oregon
Vonn Bell,Vonn Bell,CIN,Cincinnati,188,15,22,30,52,0.0,0,1,2,1,32,32,0,1,1,0,DB,Ohio State
Jonathan Greenard,Jonathan Greenard,MIN,Minnesota,188,15,36,16,52,11.0,99,16,2,0,0,0,0,4,0,0,LB,Florida
Divine Deablo,Divine Deablo,LV,Las Vegas,188,12,32,20,52,1.0,13,3,2,0,0,0,0,0,0,0,LB,Virginia Tech
Jonathon Cooper,Jonathon Cooper,DEN,Denver,188,15,29,23,52,8.0,40,9,1,0,0,0,0,1,0,0,LB,Ohio State
Paulson Adebo,Paulson Adebo,NO,New Orleans,188,7,43,9,52,0.0,0,1,10,3,68,47,0,0,0,0,DB,Stanford
Keion White,Keion White,NE,New England,188,15,28,24,52,5.0,25,7,5,0,0,0,0,2,0,0,DE,Georgia Tech
Jordan Battle,Jordan Battle,CIN,Cincinnati,188,15,32,20,52,0.0,0,1,3,1,0,0,0,0,1,0,DB,Alabama
Terrion Arnold,Terrion Arnold,DET,Detroit,188,14,40,12,52,0.0,0,0,9,0,0,0,0,0,1,0,DB,Alabama
Byron Young,Byron Young,LAR,Philadelphia,188,15,28,24,52,6.0,44,11,1,0,0,0,0,1,0,0,DT,Alabama
Byron Young,Byron Young,LAR,LA Rams,188,15,28,24,52,6.0,44,11,1,0,0,0,0,1,0,0,LB,Tennessee
Rayshawn Jenkins,Rayshawn Jenkins,SEA,Seattle,200,11,33,18,51,1.0,16,1,0,0,0,0,0,0,1,1,DB,Miami
Charvarius Ward,Charvarius Ward,SF,San Francisco,200,11,35,16,51,0.0,0,1,7,0,0,0,0,0,0,0,DB,Middle Tennessee State
Zaven Collins,Zaven Collins,ARI,Arizona,200,15,30,21,51,4.0,33,6,1,0,0,0,0,1,0,0,LB,Tulsa
Tarheeb Still,Tarheeb Still,LAC,LA Chargers,200,12,36,15,51,0.5,5,0,10,4,85,61,1,0,0,0,DB,Maryland
Kamari Lassiter,Kamari Lassiter,HOU,Houston,200,12,38,13,51,0.0,0,3,10,3,9,9,0,0,0,0,DB,Georgia
Justin Simmons,Justin Simmons,ATL,Atlanta,205,14,27,23,50,0.0,0,2,7,2,0,0,0,0,0,0,DB,Boston College
Kendall Fuller,Kendall Fuller,MIA,Miami,205,11,37,13,50,0.0,0,1,7,0,0,0,0,0,1,0,DB,Virginia Tech
Neville Hewitt,Neville Hewitt,HOU,Houston,205,15,27,23,50,0.0,0,0,3,1,45,45,0,2,0,0,LB,Marshall
Will Harris,William Harris,NO,New Orleans,205,10,34,16,50,0.0,0,2,4,1,7,7,0,0,0,0,DB,Boston College
Carl Granderson,Carl Granderson,NO,New Orleans,205,14,32,18,50,5.5,32,8,3,0,0,0,0,1,0,0,DE,Wyoming
Malik Harrison,Malik Harrison,BAL,Baltimore,205,13,21,29,50,2.0,8,3,0,0,0,0,0,0,0,0,LB,Ohio State
Greg Rousseau,Gregory Rousseau,BUF,Buffalo,205,15,35,15,50,7.5,44,16,2,0,0,0,0,3,1,0,DE,Miami
Derek Stingley Jr.,Derek Stingley,HOU,Houston,205,15,36,14,50,0.0,0,4,18,5,48,31,0,0,0,0,DB,Louisiana State
Stephon Gilmore,Stephon Gilmore,MIN,Minnesota,213,13,33,16,49,0.0,0,1,9,1,0,0,0,0,0,0,DB,South Carolina
Ugo Amadi,Ugo Amadi,NO,New Orleans,213,8,39,10,49,2.0,22,5,6,0,0,0,0,0,0,0,DB,Oregon
Chauncey Golston,Chauncey Golston,DAL,Dallas,213,15,24,25,49,4.0,16,4,4,1,18,18,0,0,1,0,DE,Iowa
Noah Igbinoghene,Noah Igbinoghene,WSH,Washington,213,15,30,19,49,0.0,0,1,6,0,0,0,0,0,0,0,DB,Auburn
Tykee Smith,Tykee Smith,TB,Tampa Bay,213,11,35,14,49,0.0,0,3,7,2,0,0,0,3,0,0,DB,Georgia
Evan Williams,Evan Williams,GB,Green Bay,213,13,31,18,49,0.0,0,1,3,1,1,1,0,1,0,0,DB,Oregon
Calen Bullock,Calen Bullock,HOU,Houston,213,15,32,17,49,0.0,0,0,10,5,96,68,0,0,1,0,DB,Southern California
Garrett Williams,Garrett Williams,ARI,Arizona,213,14,36,13,49,0.0,0,0,6,2,0,0,0,1,0,0,DB,Syracuse
Jimmie Ward,Jimmie Ward,HOU,Houston,221,10,32,16,48,0.0,0,5,4,2,67,65,1,0,0,0,DB,Northern Illinois
B.J. Hill,B.J. Hill,CIN,Cincinnati,221,13,23,25,48,3.0,11,6,4,0,0,0,0,0,0,0,DT,North Carolina State
Isaiah Oliver,Isaiah Oliver,NYJ,NY Jets,221,15,34,14,48,1.0,6,2,2,0,0,0,0,0,0,0,DB,Colorado
Tyson Campbell,Tyson Campbell,JAX,Jacksonville,221,10,33,15,48,0.0,0,2,5,0,0,0,0,0,0,0,DB,Georgia
Cor'Dale Flott,Cordale Flott,NYG,NY Giants,221,12,33,15,48,0.0,0,2,7,1,26,26,0,0,0,0,DB,Louisiana State
Eric Wilson,Eric Wilson,GB,Green Bay,226,14,28,19,47,2.0,17,7,3,1,0,0,0,1,0,0,LB,Cincinnati
Sean Murphy-Bunting,Sean Murphy-Bunting,ARI,Arizona,226,13,26,21,47,0.0,0,3,4,2,2,2,0,2,0,0,DB,Central Michigan
Troy Dye,Troy Dye,LAC,LA Chargers,226,15,26,21,47,1.5,10,2,0,0,0,0,0,0,0,0,LB,Oregon
Alohi Gilman,Alohi Gilman,LAC,LA Chargers,226,10,31,16,47,1.0,0,1,4,1,18,18,0,0,0,0,DB,Notre Dame
Troy Andersen,Troy Andersen,ATL,Atlanta,226,7,28,19,47,0.0,0,1,1,1,47,47,1,0,0,0,LB,Montana State
Calais Campbell,Calais Campbell,MIA,Miami,231,15,32,14,46,4.0,31,10,5,0,0,0,0,1,0,0,DT,Miami
Darius Slay Jr.,Darius Slay,PHI,Philadelphia,231,13,37,9,46,0.0,0,3,13,0,0,0,0,1,1,0,DB,Mississippi State
Rakeem Nunez-Roches,Rakeem Nunez-Roches,NYG,NY Giants,231,13,11,35,46,1.0,1,1,2,0,0,0,0,0,0,0,DT,Southern Mississippi
Grady Jarrett,Grady Jarrett,ATL,Atlanta,231,15,25,21,46,2.5,23,9,0,0,0,0,0,0,0,0,DT,Clemson
Ronald Darby,Ronald Darby,JAX,Jacksonville,231,13,36,10,46,0.0,0,3,9,0,0,0,0,0,0,0,DB,Florida State
Troy Reeder,Troy Reeder,LAR,LA Rams,231,6,26,20,46,0.0,0,1,1,0,0,0,0,0,0,0,LB,Delaware
Michael Hoecht,Michael Hoecht,LAR,LA Rams,231,15,20,26,46,3.0,14,4,2,0,0,0,0,0,0,0,LB,Brown
Jordan Fuller,Jordan Fuller,CAR,Carolina,231,8,27,19,46,0.0,0,0,1,0,0,0,0,1,0,0,DB,Ohio State
Sauce Gardner,Chauncey Gardner-Johnson,NYJ,Philadelphia,231,14,33,13,46,1.0,4,1,8,1,0,0,0,0,0,0,DB,Florida
Yaya Diaby,YaYa Diaby,TB,Tampa Bay,231,15,33,13,46,2.5,20,8,0,0,0,0,0,1,1,0,LB,Louisville
Max Melton,Max Melton,ARI,Arizona,231,15,34,12,46,0.0,0,2,4,0,0,0,0,1,0,0,DB,Rutgers
Zach Sieler,Zach Sieler,MIA,Miami,242,13,24,21,45,8.5,75,12,2,1,0,0,0,1,1,0,DT,Ferris State
Raekwon McMillan,Jalen McMillan,NE,Tampa Bay,242,9,25,20,45,0.0,0,1,1,0,0,0,0,0,0,0,WR,Washington
David Long Jr.,David Long,MIA/DET,Indianapolis,242,13,29,16,45,0.0,0,3,0,0,0,0,0,0,1,0,DB,Michigan
David Long Jr.,David Long,MIA/DET,Detroit,242,13,29,16,45,0.0,0,3,0,0,0,0,0,0,1,0,LB,West Virginia
Maxx Crosby,Maxx Crosby,LV,Las Vegas,242,12,28,17,45,7.5,64,17,5,0,0,0,0,0,0,0,DE,Eastern Michigan
Juan Thornhill,Juan Thornhill,CLE,Cleveland,242,9,28,17,45,0.0,0,1,2,0,0,0,0,0,0,0,DB,Virginia
Nate Hobbs,Nate Hobbs,LV,Las Vegas,242,10,30,15,45,0.0,0,2,5,1,35,35,0,0,0,0,DB,Illinois
Jordan Howden,Jordan Howden,NO,New Orleans,242,14,22,23,45,0.0,0,1,1,1,-5,-5,0,0,0,0,DB,Minnesota
