PLR_NAME,TEAM,RK,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
Kyle Juszczyk,SF,220,15,16,26,142,8.9,0,34,2,9.5,0,0,62,5
Kylen Granson,IND,221,15,10,23,141,14.1,0,40,2,9.4,0,0,74,6
Braelon Allen,NYJ,222,15,17,24,140,8.2,1,15,0,9.3,0,0,156,8
Johnny Mundt,MIN,223,15,18,26,135,7.5,2,20,1,9.0,0,0,78,7
J.K. Dobbins,LAC,224,11,28,34,134,4.8,0,15,0,12.2,0,0,175,6
Malik Washington,MIA,224,12,18,26,134,7.4,0,20,1,11.2,0,0,85,6
Cade Stover,HOU,226,13,14,20,132,9.4,1,27,1,10.2,0,0,91,5
Charlie Kolar,BAL,227,12,9,11,131,14.6,1,55,2,10.9,0,0,76,4
Jonathan Mingo,DAL/CAR,227,15,14,37,131,9.4,0,35,2,8.7,0,0,67,4
Jonathan Taylor,IND,229,12,15,25,122,8.1,1,25,1,10.2,1,0,142,7
Jahan Dotson,PHI,229,15,12,22,122,10.2,0,36,2,8.1,0,0,52,6
Michael Mayer,LV,231,9,16,26,121,7.6,0,29,1,13.4,0,0,40,6
Bub Means,NO,232,7,9,15,118,13.1,1,36,1,16.9,0,0,20,7
Daniel Bellinger,NYG,233,15,12,15,116,9.7,0,17,0,7.7,0,0,45,8
Devin Singletary,NYG,234,13,19,22,115,6.1,0,23,1,8.8,0,0,171,4
Rakim Jarrett,TB,235,8,8,10,113,14.1,0,30,2,14.1,0,0,17,4
Hunter Luepke,DAL,236,14,11,15,110,10.0,0,24,1,7.9,0,0,84,5
Jermaine Burton,CIN,237,13,4,14,107,26.8,0,47,2,8.2,0,0,22,4
Simi Fehoko,LAC,238,8,6,16,106,17.7,0,30,2,13.3,0,0,16,6
Emari Demercado,ARI,239,13,16,20,104,6.5,0,24,1,8.0,0,0,95,3
Sean Tucker,TB,239,15,8,11,104,13.0,1,36,1,6.9,0,0,103,6
Jake Bobo,SEA,241,15,12,16,103,8.6,0,15,0,6.9,0,0,27,7
Ryan Miller,TB,242,9,10,16,102,10.2,2,39,1,11.3,0,0,52,7
Kenneth Gainwell,PHI,242,15,13,17,102,7.8,0,16,0,6.8,0,0,94,5
Nick Vannett,TEN,244,15,14,17,101,7.2,2,24,1,6.7,0,0,78,4
Jalen Reagor,LAC,245,8,7,12,100,14.3,0,41,2,12.5,1,1,26,3
Brock Wright,DET,245,15,13,16,100,7.7,2,16,0,6.7,0,0,75,7
Jeremy Ruckert,NYJ,245,15,17,26,100,5.9,0,12,0,6.7,0,0,81,6
Julian Hill,MIA,245,14,12,18,100,8.3,0,17,0,7.1,1,0,58,5
Mason Tipton,NO,249,10,14,25,99,7.1,0,15,0,9.9,0,0,27,2
KhaDarel Hodge,ATL,250,15,5,6,98,19.6,1,45,2,6.5,0,0,73,4
Miles Sanders,CAR,250,10,21,26,98,4.7,0,27,1,9.8,0,0,137,3
Kevin Austin Jr.,NO,250,5,8,15,98,12.3,0,22,1,19.6,0,0,22,7
Drew Sample,CIN,253,15,15,17,92,6.1,1,12,0,6.1,1,0,61,6
Jordan Mason,SF,254,12,11,14,91,8.3,0,24,1,7.6,0,0,59,5
Xavier Hutchinson,HOU,254,14,9,20,91,10.1,0,19,0,6.5,0,0,30,5
Mecole Hardman,KC,256,12,12,14,90,7.5,0,17,0,7.5,0,0,99,6
Pierre Strong Jr.,CLE,257,13,11,17,89,8.1,0,21,2,6.8,0,0,111,3
Brevyn Spann-Ford,DAL,258,15,9,14,88,9.8,0,18,0,5.9,0,0,53,6
Roschon Johnson,CHI,258,12,11,15,88,8.0,0,17,0,7.3,0,0,70,5
Drew Ogletree,IND,258,15,8,13,88,11.0,1,22,2,5.9,0,0,41,5
Isaac Guerendo,SF,261,14,11,12,87,7.9,0,27,2,6.2,1,0,67,5
Ja'Lynn Polk,NE,261,14,12,32,87,7.3,2,21,1,6.2,0,0,13,4
Harrison Bryant,LV,263,11,9,12,86,9.6,0,18,0,7.8,0,0,71,5
D'Ernest Johnson,JAX,264,12,9,15,85,9.4,0,26,2,7.1,0,0,85,3
Ryan Flournoy,DAL,264,9,7,10,85,12.1,0,26,1,9.4,1,1,32,4
Trey Sermon,IND,266,15,14,15,84,6.0,0,14,0,5.6,0,0,88,3
Trent Sherfield Sr.,MIN,267,15,8,9,83,10.4,1,17,0,5.5,0,0,40,4
Nate Adkins,DEN,267,15,10,11,83,8.3,3,16,0,5.5,0,0,48,5
Cordarrelle Patterson,PIT,269,11,12,14,80,6.7,1,20,1,7.3,0,0,56,5
Eric Saubert,SF,269,15,7,9,80,11.4,1,20,1,5.3,0,0,32,3
Bryce Oliver,TEN,269,8,5,6,80,16.0,0,33,1,10.0,0,0,24,3
Isiah Pacheco,KC,272,6,12,16,79,6.6,0,23,1,13.2,0,0,119,4
Derius Davis,LAC,273,13,10,14,78,7.8,1,19,0,6.0,0,0,106,4
Eric Gray,NYG,273,15,9,10,78,8.7,0,19,0,5.2,0,0,99,3
Alec Ingold,MIA,275,13,9,10,75,8.3,0,25,1,5.8,0,0,49,3
Devin Duvernay,JAX,275,11,10,15,75,7.5,0,28,1,6.8,0,0,62,6
Hayden Hurst,LAC,277,8,8,13,73,9.1,0,27,1,9.1,0,0,20,2
Bo Melton,GB,277,14,5,12,73,14.6,0,28,1,5.2,0,0,6,4
DeAndre Carter,CHI,279,13,9,14,72,8.0,0,14,0,5.5,0,0,32,3
Brandon Powell,MIN,280,15,7,10,71,10.1,0,13,0,4.7,0,0,12,5
Tyler Allgeier,ATL,280,15,11,11,71,6.5,0,13,0,4.7,0,0,80,2
John Bates,WSH,282,15,7,11,70,10.0,0,20,1,4.7,1,1,44,2
Ezekiel Elliott,DAL,283,14,12,15,69,5.8,0,15,0,4.9,0,0,97,3
Scotty Miller,PIT,283,12,5,9,69,13.8,0,21,2,5.8,0,0,33,2
Ben Skowronek,PIT,283,9,5,5,69,13.8,0,23,1,7.7,0,0,29,4
Chris Brooks,GB,286,12,10,11,67,6.7,0,15,0,5.6,0,0,92,2
Ashton Dulin,IND,286,13,2,8,67,33.5,1,54,1,5.2,0,0,43,2
Isaiah Davis,NYJ,286,15,8,11,67,8.4,1,24,1,4.5,0,0,62,4
Michael Burton,DEN,289,15,10,10,65,6.5,1,28,1,4.3,0,0,41,3
