Player,Position,Team,College
Travis Etienne Jr.,Running Back,Jacksonville Jaguars,Clemson
Clelin Ferrell,Defensive End,Washington Commanders,Clemson
Tee Higgins,Wide Receiver,Cincinnati Bengals,Clemson
DeAndre Hopkins,Wide Receiver,Kansas City Chiefs,Clemson
Grady Jarrett,Defensive End,Atlanta Falcons,Clemson
Ray-Ray McCloud III,Wide Receiver,Atlanta Falcons,Clemson
Jordan McFadden,Guard,Los Angeles Chargers,Clemson
Myles Murphy,Defensive End,Cincinnati Bengals,Clemson
Ruke Orhorhoro,Defensive Tackle,Atlanta Falcons,Clemson
Bradley Pinion,Punter,Atlanta Falcons,Clemson
DJ Reader,Defensive Tackle,Detroit Lions,Clemson
Hunter Renfrow,Wide Receiver,Las Vegas Raiders,Clemson
Will Shipley,Running Back,Philadelphia Eagles,Clemson
Isaiah Simmons,Linebacker,New York Giants,Clemson
John Simpson,Guard,New York Jets,Clemson
Trenton Simpson,Linebacker,Baltimore Ravens,Clemson
Baylon Spector,Linebacker,Buffalo Bills,Clemson
A.J. Terrell,Cornerback,Atlanta Falcons,Clemson
Xavier Thomas,Linebacker,Arizona Cardinals,Clemson
Jeremiah Trotter Jr.,Linebacker,Philadelphia Eagles,Clemson
Carlos Watkins,Defensive End,Dallas Cowboys,Clemson
Nate Wiggins,Cornerback,Baltimore Ravens,Clemson
Mike Williams,Wide Receiver,Pittsburgh Steelers,Clemson
C.J. Brewer,Defensive Tackle,Tampa Bay Buccaneers,Coastal Carolina
Isaiah Likely,Tight End,Baltimore Ravens,Coastal Carolina
Chidobe Awuzie,Cornerback,Tennessee Titans,Colorado
David Bakhtiari,Offensive Tackle,Green Bay Packers,Colorado
Arlington Hambright,Guard,Tennessee Titans,Colorado
Nate Landman,Linebacker,Atlanta Falcons,Colorado
Isaiah Oliver,Cornerback,New York Jets,Colorado
Brady Russell,Tight End,Seattle Seahawks,Colorado
Xavier Weaver,Wide Receiver,Arizona Cardinals,Colorado
Ahkello Witherspoon,Cornerback,Los Angeles Rams,Colorado
Chigozie Anusiem,Cornerback,Cleveland Browns,Colorado State
Dallin Holker,Tight End,New Orleans Saints,Colorado State
Mohamed Kamara,Linebacker,Miami Dolphins,Colorado State
Klint Kubiak,Unknown,null Unknown,Colorado State
Trey McBride,Tight End,Arizona Cardinals,Colorado State
Trent Sieg,Long Snapper,Dallas Cowboys,Colorado State
Ryan Stonehouse,Punter,Tennessee Titans,Colorado State
Morgan Fox,Defensive End,Los Angeles Chargers,CSU Pueblo
Mike Pennel Jr.,Defensive Tackle,Kansas City Chiefs,CSU Pueblo
Adam Trautman,Tight End,Denver Broncos,Dayton
Nasir Adderley,Safety,Los Angeles Chargers,Delaware
Joe Flacco,Quarterback,Indianapolis Colts,Delaware
Eric Saubert,Tight End,San Francisco 49ers,Drake
Graham Barton,Center,Tampa Bay Buccaneers,Duke
Josh Blackwell,Cornerback,Chicago Bears,Duke
DeWayne Carter,Defensive Tackle,Buffalo Bills,Duke
Michael Carter II,Cornerback,New York Jets,Duke
Jamison Crowder,Wide Receiver,Washington Commanders,Duke
Evan Deckers,Long Snapper,Tampa Bay Buccaneers,Duke
Victor Dimukeje,Linebacker,Arizona Cardinals,Duke
Noah Gray,Tight End,Kansas City Chiefs,Duke
Thomas Hennessy,Long Snapper,New York Jets,Duke
